asset,gap_class,routing_bucket,candidate_status,source_batch,required_shape,required_colours,blockers,opencpn_refs,s101_refs,aquamap_refs,expected_action
ARCSLN01,routed_style_primitive,style_primitive_registry,style_primitive_registry,catalog/owned_repair_batch91.json,symbol silhouette must match the strongest S-101/OpenCPN/Aqua Map reference,,no_reference_images,0,0,0,"cover_by_renderer_style_contract_tests: arc/sector line style primitive; renderer stroke contract, not a standalone icon"
BCNCON81,routed_witness_needed,chart1_parity_witness_needed,chart1_parity_witness_needed,catalog/owned_repair_batch97.json,conical/nun buoy body,blue;red;white;blue,no_reference_images,0,0,0,attach_exact_chart1_or_equivalent_witness_then_rerun_parity_gate: Generate owned beacon/conical special-purpose mark from explicit S-57 conditions; no external art import required.
BOYLAT52,candidate_blocked_no_reference_images,,judge_pass_pending_final_approval,catalog/owned_repair_batch68.json,buoy symbol matching the S-57 buoy family,red;green;red,no_reference_images,0,0,0,"Attach or generate a tight reference image for BOYLAT52 before recognition judging; candidate shape contract is buoy symbol matching the S-57 buoy family; colours are red, green, red."
BOYLAT53,candidate_blocked_no_reference_images,,judge_pass_pending_final_approval,catalog/owned_repair_batch68.json,buoy symbol matching the S-57 buoy family,green;red;green,no_reference_images,0,0,0,"Attach or generate a tight reference image for BOYLAT53 before recognition judging; candidate shape contract is buoy symbol matching the S-57 buoy family; colours are green, red, green."
BOYLAT54,candidate_blocked_no_reference_images,,judge_pass_pending_final_approval,catalog/owned_repair_batch68.json,buoy symbol matching the S-57 buoy family,red;green,no_reference_images,0,0,0,"Attach or generate a tight reference image for BOYLAT54 before recognition judging; candidate shape contract is buoy symbol matching the S-57 buoy family; colours are red, green."
BOYLAT55,candidate_blocked_no_reference_images,,judge_pass_pending_final_approval,catalog/owned_repair_batch68.json,buoy symbol matching the S-57 buoy family,white;red,no_reference_images,0,0,0,"Attach or generate a tight reference image for BOYLAT55 before recognition judging; candidate shape contract is buoy symbol matching the S-57 buoy family; colours are white, red."
BOYLAT56,candidate_blocked_no_reference_images,,judge_pass_pending_final_approval,catalog/owned_repair_batch68.json,buoy symbol matching the S-57 buoy family,white;green,no_reference_images,0,0,0,"Attach or generate a tight reference image for BOYLAT56 before recognition judging; candidate shape contract is buoy symbol matching the S-57 buoy family; colours are white, green."
BOYSPH79,candidate_blocked_no_reference_images,,judge_pass_pending_final_approval,catalog/owned_repair_batch67.json,conical/nun buoy body,red;green,no_reference_images,0,0,0,"Attach or generate a tight reference image for BOYSPH79 before recognition judging; candidate shape contract is conical/nun buoy body; colours are red, green."
BOYSPR02,candidate_blocked_no_reference_images,,judge_pass_pending_final_approval,catalog/owned_repair_batch69.json,spar buoy body,green,no_reference_images,0,0,0,Attach or generate a tight reference image for BOYSPR02 before recognition judging; candidate shape contract is spar buoy body; colours are green.
BOYSPR03,candidate_blocked_no_reference_images,,judge_pass_pending_final_approval,catalog/owned_repair_batch69.json,spar buoy body,red,no_reference_images,0,0,0,Attach or generate a tight reference image for BOYSPR03 before recognition judging; candidate shape contract is spar buoy body; colours are red.
DANGER53,routed_witness_needed,witness_needed_official_symbol,witness_needed_official_symbol,catalog/owned_repair_batch4.json,symbol silhouette must match the strongest S-101/OpenCPN/Aqua Map reference,,no_reference_images;style_blocked;craft_blocked,0,0,0,"attach_tight_reference_before_render: Official S-52 danger symbol row exists, but no tight OpenCPN/S-101/AquaMap/Chart-1 one-symbol witness is attached."
DASH,routed_style_primitive,style_primitive_registry,style_primitive_registry,catalog/owned_repair_batch91.json,symbol silhouette must match the strongest S-101/OpenCPN/Aqua Map reference,,no_reference_images,0,0,0,"cover_by_renderer_style_contract_tests: generic dashed line primitive used by many lookups; style contract, not a standalone icon"
DATCVR01,routed_portrayal_rule,portrayal_rule_registry,portrayal_rule_registry,catalog/owned_repair_batch91.json,symbol silhouette must match the strongest S-101/OpenCPN/Aqua Map reference,,no_reference_images,0,0,0,cover_by_portrayal_rule_or_runtime_renderer_test: data-coverage conditional procedure
DEPARE01,routed_portrayal_rule,portrayal_rule_registry,portrayal_rule_registry,catalog/owned_repair_batch91.json,symbol silhouette must match the strongest S-101/OpenCPN/Aqua Map reference,,no_reference_images,0,0,0,cover_by_portrayal_rule_or_runtime_renderer_test: depth-area conditional procedure
DEPARE02,routed_portrayal_rule,portrayal_rule_registry,portrayal_rule_registry,catalog/owned_repair_batch91.json,symbol silhouette must match the strongest S-101/OpenCPN/Aqua Map reference,,no_reference_images,0,0,0,cover_by_portrayal_rule_or_runtime_renderer_test: depth-area conditional procedure
DEPCNT02,routed_portrayal_rule,portrayal_rule_registry,portrayal_rule_registry,catalog/owned_repair_batch91.json,symbol silhouette must match the strongest S-101/OpenCPN/Aqua Map reference,,no_reference_images,0,0,0,cover_by_portrayal_rule_or_runtime_renderer_test: depth-contour conditional procedure
DGPS01DRFSTA01,routed_witness_needed,witness_needed_official_symbol,witness_needed_official_symbol,catalog/owned_repair_batch4.json,symbol silhouette must match the strongest S-101/OpenCPN/Aqua Map reference,,no_reference_images;style_blocked;craft_blocked,0,0,0,"attach_tight_reference_before_render: DGPS/radio-station composite row exists, but current merged token lacks a tight symbol witness."
DOTT,routed_style_primitive,style_primitive_registry,style_primitive_registry,catalog/owned_repair_batch91.json,symbol silhouette must match the strongest S-101/OpenCPN/Aqua Map reference,,no_reference_images,0,0,0,"cover_by_renderer_style_contract_tests: generic dotted line primitive used by obstruction/foul-area rules; style contract, not a standalone icon"
LEGLIN02,routed_portrayal_rule,portrayal_rule_registry,portrayal_rule_registry,catalog/owned_repair_batch91.json,symbol silhouette must match the strongest S-101/OpenCPN/Aqua Map reference,,no_reference_images,0,0,0,cover_by_portrayal_rule_or_runtime_renderer_test: leg-line conditional procedure
NEWOBJ 01,routed_manual_exception,manual_policy_exception,manual_policy_exception,catalog/owned_repair_batch4.json,symbol silhouette must match the strongest S-101/OpenCPN/Aqua Map reference,,no_reference_images;style_blocked;craft_blocked,0,0,0,"decide_runtime_placeholder_policy_or_explicit_manual_exception: NEWOBJ is a placeholder/new-object hook, not a stable nautical symbol to visually promote."
NEWOBJ01,routed_manual_exception,manual_policy_exception,manual_policy_exception,catalog/owned_repair_batch4.json,symbol silhouette must match the strongest S-101/OpenCPN/Aqua Map reference,,no_reference_images;style_blocked;craft_blocked,0,0,0,"decide_runtime_placeholder_policy_or_explicit_manual_exception: NEWOBJ area symbol is a placeholder/new-object hook; line style is handled by the renderer, not a canonical pictogram."
OWNSHP02,routed_portrayal_rule,portrayal_rule_registry,portrayal_rule_registry,catalog/owned_repair_batch91.json,symbol silhouette must match the strongest S-101/OpenCPN/Aqua Map reference,,no_reference_images,0,0,0,cover_by_portrayal_rule_or_runtime_renderer_test: own-ship conditional procedure
QUAPOS01;TX(OBJNAM,routed_portrayal_rule,portrayal_rule_registry,portrayal_rule_registry,catalog/owned_repair_batch91.json,symbol silhouette must match the strongest S-101/OpenCPN/Aqua Map reference,,no_reference_images,0,0,0,cover_by_portrayal_rule_or_runtime_renderer_test: quality-of-position/text conditional procedure
RESARE01,routed_portrayal_rule,portrayal_rule_registry,portrayal_rule_registry,catalog/owned_repair_batch91.json,symbol silhouette must match the strongest S-101/OpenCPN/Aqua Map reference,,no_reference_images,0,0,0,cover_by_portrayal_rule_or_runtime_renderer_test: restricted-area conditional procedure
RESARE02,routed_portrayal_rule,portrayal_rule_registry,portrayal_rule_registry,catalog/owned_repair_batch91.json,symbol silhouette must match the strongest S-101/OpenCPN/Aqua Map reference,,no_reference_images,0,0,0,cover_by_portrayal_rule_or_runtime_renderer_test: restricted-area conditional procedure
RESTRN01,routed_portrayal_rule,portrayal_rule_registry,portrayal_rule_registry,catalog/owned_repair_batch91.json,symbol silhouette must match the strongest S-101/OpenCPN/Aqua Map reference,,no_reference_images,0,0,0,cover_by_portrayal_rule_or_runtime_renderer_test: restriction conditional procedure
SLCONS03,routed_portrayal_rule,portrayal_rule_registry,portrayal_rule_registry,catalog/owned_repair_batch91.json,symbol silhouette must match the strongest S-101/OpenCPN/Aqua Map reference,,no_reference_images,0,0,0,cover_by_portrayal_rule_or_runtime_renderer_test: shoreline-construction conditional procedure
SOLD,routed_style_primitive,style_primitive_registry,style_primitive_registry,catalog/owned_repair_batch91.json,symbol silhouette must match the strongest S-101/OpenCPN/Aqua Map reference,,no_reference_images,0,0,0,"cover_by_renderer_style_contract_tests: generic solid line primitive used by many area/contour rules; style contract, not a standalone icon"
SYMINS01,routed_portrayal_rule,portrayal_rule_registry,portrayal_rule_registry,catalog/owned_repair_batch91.json,symbol silhouette must match the strongest S-101/OpenCPN/Aqua Map reference,,no_reference_images,0,0,0,cover_by_portrayal_rule_or_runtime_renderer_test: symbol-instruction conditional procedure
TOPMARI1,routed_portrayal_rule,portrayal_rule_registry,portrayal_rule_registry,catalog/owned_repair_batch91.json,exact topmark silhouette/count/orientation from the references,,no_reference_images,0,0,0,cover_by_portrayal_rule_or_runtime_renderer_test: topmark conditional procedure
TOPSHP09;TE('%s',candidate_blocked_no_reference_images,,judge_pass_pending_final_approval,catalog/owned_repair_batch84.json,exact topmark silhouette/count/orientation from the references,red;red;green,no_reference_images,0,0,0,"Attach or generate a tight reference image for TOPSHP09;TE('%s' before recognition judging; candidate shape contract is exact topmark silhouette/count/orientation from the references; colours are red, red, green."
TOPSHP15;TE('%s',candidate_blocked_no_reference_images,,judge_pass_pending_final_approval,catalog/owned_repair_batch84.json,exact topmark silhouette/count/orientation from the references,red;red;yellow,no_reference_images,0,0,0,"Attach or generate a tight reference image for TOPSHP15;TE('%s' before recognition judging; candidate shape contract is exact topmark silhouette/count/orientation from the references; colours are red, red, yellow."
TOPSHP33,candidate_blocked_no_reference_images,,judge_pass_pending_final_approval,catalog/owned_repair_batch84.json,exact topmark silhouette/count/orientation from the references,green;red;green,no_reference_images,0,0,0,"Attach or generate a tight reference image for TOPSHP33 before recognition judging; candidate shape contract is exact topmark silhouette/count/orientation from the references; colours are green, red, green."
TOPSHP73;TE('%s',candidate_blocked_no_reference_images,,judge_pass_pending_final_approval,catalog/owned_repair_batch49.json,exact topmark silhouette/count/orientation from the references,white;black;white,no_reference_images,0,0,0,"Attach or generate a tight reference image for TOPSHP73;TE('%s' before recognition judging; candidate shape contract is exact topmark silhouette/count/orientation from the references; colours are white, black, white."
TOPSHP81;TE('%s',candidate_blocked_no_reference_images,,judge_pass_pending_final_approval,catalog/owned_repair_batch50.json,exact topmark silhouette/count/orientation from the references,orange;black,no_reference_images,0,0,0,"Attach or generate a tight reference image for TOPSHP81;TE('%s' before recognition judging; candidate shape contract is exact topmark silhouette/count/orientation from the references; colours are orange, black."
TOPSHP89;TE('%s',candidate_blocked_no_reference_images,,judge_pass_pending_final_approval,catalog/owned_repair_batch50.json,exact topmark silhouette/count/orientation from the references,red;white;red,no_reference_images,0,0,0,"Attach or generate a tight reference image for TOPSHP89;TE('%s' before recognition judging; candidate shape contract is exact topmark silhouette/count/orientation from the references; colours are red, white, red."
TOPSHPT8;TE('%s',candidate_blocked_no_reference_images,,judge_pass_pending_final_approval,catalog/owned_repair_batch52.json,exact topmark silhouette/count/orientation from the references,white;black;white,no_reference_images,0,0,0,"Attach or generate a tight reference image for TOPSHPT8;TE('%s' before recognition judging; candidate shape contract is exact topmark silhouette/count/orientation from the references; colours are white, black, white."
VEHTRF01,routed_witness_needed,witness_needed_official_symbol,witness_needed_official_symbol,catalog/owned_repair_batch84.json,symbol silhouette must match the strongest S-101/OpenCPN/Aqua Map reference,,no_reference_images,0,0,0,"attach_tight_reference_before_render: Vehicle-traffic area row exists, but no tight witness is attached; keep blocked until a symbol crop/render is available."
VESSEL01,routed_portrayal_rule,portrayal_rule_registry,portrayal_rule_registry,catalog/owned_repair_batch91.json,symbol silhouette must match the strongest S-101/OpenCPN/Aqua Map reference,,no_reference_images,0,0,0,cover_by_portrayal_rule_or_runtime_renderer_test: vessel conditional procedure
VRMEBL01,routed_portrayal_rule,portrayal_rule_registry,portrayal_rule_registry,catalog/owned_repair_batch91.json,symbol silhouette must match the strongest S-101/OpenCPN/Aqua Map reference,,no_reference_images,0,0,0,cover_by_portrayal_rule_or_runtime_renderer_test: VRM/EBL conditional procedure
boyspp50,routed_witness_needed,chart1_parity_witness_needed,chart1_parity_witness_needed,catalog/owned_repair_batch97.json,buoy symbol matching the S-57 buoy family,yellow,no_reference_images,0,0,0,attach_exact_chart1_or_equivalent_witness_then_rerun_parity_gate: Lowercase legacy special-purpose waterway mark can be generated from S-57 conditions as a yellow special-purpose buoy marker.
